geounit,Polio,MCV,Hib3,HepB,DTP
Afghanistan,75,66,75,75,75
Aland,0,0,0,0,0
Albania,98,98,98,98,98
Algeria,95,95,95,95,95
American Samoa,0,0,0,0,0
Andorra,97,96,97,96,97
Angola,81,85,80,80,80
Anguilla,0,0,0,0,0
Antarctica,0,0,0,0,0
Antigua and Barbuda,96,98,99,99,99
Argentina,92,95,94,94,94
Armenia,95,97,93,93,93
Aruba,0,0,0,0,0
Ashmore and Cartier Islands,0,0,0,0,0
Australia,92,93,91,91,92
Austria,83,76,83,83,83
Azerbaijan,97,98,94,94,94
Bahrain,99,99,99,99,99
Bangladesh,99,89,95,95,95
Barbados,95,95,94,94,94
Belarus,97,99,20,97,97
Belgium,99,96,98,98,99
Belize,95,95,95,95,95
Benin,72,63,70,70,70
Bermuda,0,0,0,0,0
Bhutan,72,97,99,99,99
Bolivia,95,95,94,94,94
Bosnia and Herzegovina,86,89,79,89,86
Botswana,96,97,96,95,95
Brazil,96,97,95,96,93
British Indian Ocean Territory,0,0,0,0,0
British Virgin Islands,0,0,0,0,0
Brunei,99,97,96,99,99
Bulgaria,88,93,83,95,88
Burkina Faso,91,88,91,91,91
Burundi,95,94,95,95,95
Cambodia,98,94,97,97,97
Cameroon,86,80,87,87,87
Canada,96,95,96,75,96
Cape Verde,0,63,95,95,95
Cayman Islands,0,0,0,0,0
Central African Republic,47,49,47,47,47
Chad,54,54,46,46,46
Chile,92,94,92,92,92
China,99,99,0,99,99
Colombia,91,91,90,90,90
Comoros,79,80,80,80,80
Cook Islands,99,98,99,99,99
Costa Rica,91,95,91,91,91
Croatia,95,94,95,95,95
Cuba,99,99,96,96,96
Curaçao,0,0,0,0,0
Cyprus,99,86,96,96,99
Czech Republic,99,99,99,99,99
Democratic Republic of the Congo,79,80,80,80,80
Denmark,94,90,94,0,94
Djibouti,78,71,78,78,78
Dominica,97,94,97,97,97
Dominican Republic,90,88,87,89,91
East Timor,0,0,0,0,0
Ecuador,84,85,83,83,83
Egypt,94,93,94,94,94
El Salvador,93,94,93,93,93
Equatorial Guinea,30,44,24,24,24
Eritrea,94,96,94,94,94
Estonia,93,93,93,93,93
Ethiopia,75,70,77,77,77
Falkland Islands,0,0,0,0,0
Faroe Islands,0,0,0,0,0
Federated States of Micronesia,0,0,0,0,0
Fiji,99,94,99,99,99
Finland,98,97,98,0,98
France,99,90,98,82,99
French Polynesia,0,0,0,0,0
French Southern and Antarctic Lands,0,0,0,0,0
Gabon,68,61,70,70,70
Gambia,97,96,96,96,96
Georgia,91,92,91,91,91
Germany,95,97,94,87,96
Ghana,98,92,98,98,98
Greece,99,97,99,96,99
Greenland,0,0,0,0,0
Grenada,81,94,0,97,97
Guam,0,0,0,0,0
Guatemala,65,67,73,73,73
Guernsey,0,0,0,0,0
Guinea,42,52,51,51,51
Guinea Bissau,78,69,80,80,80
Guyana,97,99,98,0,98
Haiti,55,53,48,98,48
Heard Island and McDonald Islands,0,0,0,0,0
Honduras,85,88,85,85,85
Hong Kong S.A.R.,0,0,0,0,0
Hungary,99,99,99,0,99
Iceland,90,90,90,0,90
India,82,83,20,70,83
Indian Ocean Territories,0,0,0,0,0
Indonesia,79,77,21,78,78
Iran,99,99,0,99,99
Iraq,67,57,64,62,64
Ireland,96,93,96,95,96
Isle of Man,0,0,0,0,0
Israel,94,96,94,97,94
Italy,94,86,94,94,94
Ivory Coast,0,63,0,0,0
Jamaica,94,92,92,92,92
Japan,99,98,0,0,98
Jersey,0,0,0,0,0
Jordan,98,98,98,98,98
Kazakhstan,95,99,95,95,95
Kenya,81,79,81,81,81
Kiribati,79,91,75,75,75
Kosovo,0,0,0,0,0
Kuwait,94,94,95,96,95
Kyrgyzstan,95,96,96,96,96
Laos,88,87,88,88,88
Latvia,92,95,92,92,92
Lebanon,75,79,81,81,81
Lesotho,95,92,96,96,96
Liberia,49,58,50,50,50
Libya,94,93,94,94,94
Liechtenstein,0,0,0,0,0
Lithuania,93,93,93,94,93
Luxembourg,99,99,99,94,99
Macao S.A.R,0,0,0,0,0
Macedonia,96,0,94,97,0
Madagascar,73,64,73,73,73
Malawi,87,85,91,91,91
Malaysia,97,94,97,96,97
Maldives,99,99,99,99,99
Mali,84,80,77,77,77
Malta,99,98,99,90,99
Marshall Islands,77,79,65,79,78
Mauritania,84,84,84,84,84
Mauritius,98,98,97,97,97
Mexico,87,97,87,84,87
Moldova,92,90,89,92,90
Monaco,99,99,99,99,99
Mongolia,99,98,99,99,99
Montenegro,91,88,91,87,91
Montserrat,0,0,0,0,0
Morocco,99,99,99,99,99
Mozambique,78,85,78,78,78
Myanmar,76,86,75,75,75
Namibia,88,83,88,88,88
Nauru,95,98,95,95,95
Nepal,92,88,92,92,92
Netherlands,96,96,96,95,96
New Caledonia,0,0,0,0,0
New Zealand,93,93,93,93,93
Nicaragua,99,99,98,98,98
Niger,67,72,68,68,68
Nigeria,66,51,66,66,66
Niue,99,99,99,99,99
Norfolk Island,0,0,0,0,0
North Korea,0,0,0,0,0
Northern Cyprus,0,0,0,0,0
Northern Mariana Islands,0,0,0,0,0
Norway,93,94,94,0,93
Oman,99,99,99,98,99
Pakistan,72,63,73,73,73
Palau,95,63,0,99,95
Palestine,0,0,0,0,0
Panama,80,90,80,80,80
Papua New Guinea,53,65,62,62,62
Paraguay,83,90,87,87,87
Peru,79,89,88,88,88
Philippines,84,88,79,79,79
Pitcairn Islands,0,0,0,0,0
Poland,95,98,99,96,99
Portugal,98,98,98,98,98
Puerto Rico,0,0,0,0,0
Qatar,99,99,99,99,99
Republic of Congo,0,0,0,0,0
Republic of Serbia,0,86,0,0,93
Romania,94,89,92,94,94
Russia,97,98,31,97,97
Rwanda,99,98,99,99,99
Saint Barthelemy,0,0,0,0,0
Saint Helena,0,0,0,0,0
Saint Kitts and Nevis,93,93,98,98,97
Saint Lucia,99,99,99,99,99
Saint Martin,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0
Saint Vincent and the Grenadines,0,99,98,98,98
Samoa,91,91,91,91,91
San Marino,80,0,79,80,80
Sao Tome and Principe,95,92,95,95,95
Saudi Arabia,98,98,98,98,98
Senegal,85,80,89,89,89
Seychelles,99,0,99,99,99
Siachen Glacier,0,0,0,0,0
Sierra Leone,83,78,83,83,83
Singapore,97,95,0,97,97
Sint Maarten,0,0,0,0,0
Slovakia,97,97,97,97,97
Slovenia,95,94,95,0,95
Solomon Islands,94,93,88,88,88
Somalia,47,46,42,42,42
Somaliland,0,0,0,0,0
South Africa,71,70,70,74,70
South Georgia and South Sandwich Islands,0,0,0,0,0
South Korea,99,0,97,99,93
South Sudan,44,22,0,0,39
Spain,97,96,96,96,97
Sri Lanka,0,99,99,99,99
Sudan,94,86,94,94,94
Suriname,85,85,85,85,85
Swaziland,98,86,98,98,98
Sweden,98,97,98,42,98
Switzerland,96,93,95,0,96
Syria,52,54,43,71,43
Taiwan,0,98,0,0,0
Tajikistan,94,0,97,97,97
Tanzania,97,99,97,97,97
Thailand,99,99,0,0,99
The Bahamas,0,0,0,0,0
Togo,85,82,87,87,87
Tonga,84,67,82,82,82
Trinidad and Tobago,94,96,92,92,92
Tunisia,98,98,98,98,98
Turkey,96,94,96,96,96
Turkmenistan,98,0,97,97,98
Turks and Caicos Islands,0,0,0,0,0
Uganda,82,82,78,78,78
Ukraine,74,79,83,46,76
United Arab Emirates,94,94,94,94,94
United Kingdom,95,93,95,0,95
United States of America,93,91,93,90,94
United States Virgin Islands,0,0,0,0,0
Uruguay,95,96,95,95,95
Uzbekistan,99,99,99,99,99
Vanuatu,65,53,64,64,64
Vatican,0,0,0,0,0
Venezuela,79,89,78,78,78
Vietnam,0,97,95,95,95
Wallis and Futuna,0,0,0,0,0
Western Sahara,0,0,0,0,0
Yemen,88,75,88,88,88
Zambia,78,85,86,86,86
Zimbabwe,92,92,91,91,91
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
